ID Client,Age,Annual Income,Purchase Score
790,46,84,8
791,30,38,19
792,63,27,98
793,52,29,57
794,23,23,78
795,35,63,87
796,68,40,48
797,22,67,56
798,64,113,15
799,42,137,99
800,19,34,74
801,27,28,7
802,47,145,66
803,67,12,18
804,62,95,66
805,22,18,35
806,50,103,88
807,18,148,59
808,35,29,35
809,49,44,10
810,64,62,50
811,66,119,79
812,28,145,54
813,38,13,53
814,43,111,16
815,42,56,61
816,39,103,41
817,44,57,23
818,66,100,16
819,30,93,47
820,50,77,83
821,51,148,85
822,58,134,69
823,52,82,6
824,18,13,13
825,38,85,10
826,65,82,11
827,23,86,4
828,45,57,4
829,34,111,19
830,22,115,53
831,48,86,54
832,22,48,57
833,55,67,78
834,20,28,89
835,40,97,96
836,54,122,29
837,54,86,23
838,27,86,86
839,27,37,72
840,36,75,2
841,34,19,99
842,38,135,47
843,31,67,70
844,26,134,21
845,63,121,13
846,18,93,47
847,68,105,28
848,62,42,49
849,30,56,79
850,21,121,97
851,18,52,9
852,66,17,70
853,57,12,88
854,49,134,26
855,51,21,78
856,45,93,95
857,48,25,27
858,25,87,8
859,56,68,70
860,43,72,79
861,51,58,25
862,20,60,98
863,67,42,80
864,29,39,86
865,18,85,7
866,61,24,1
867,22,91,94
868,47,101,56
869,47,32,51
870,34,103,57
871,65,54,95
872,64,71,92
873,40,24,2
874,32,55,7
875,54,73,58
876,38,84,1
877,31,61,94
878,19,97,61
879,28,66,48
880,68,92,100
881,56,75,19
882,55,29,28
883,51,42,16
884,55,81,73
885,67,34,21
886,51,55,5
887,35,82,61
888,47,107,97
889,32,66,30
890,44,96,61
891,68,142,11
892,51,64,11
893,69,70,62
894,55,98,15
895,50,17,24
896,41,25,21
897,32,125,90
898,47,70,87
899,59,24,75
900,68,140,17
901,34,111,44
902,22,63,79
903,46,23,67
904,21,45,11
905,27,114,48
906,34,91,32
907,27,76,85
908,34,19,62
909,37,58,17
910,41,120,53
911,22,74,96
912,51,66,26
913,23,36,82
914,19,122,77
915,30,142,24
916,60,80,33
917,60,92,87
918,65,66,59
919,28,129,53
920,68,102,86
921,64,24,4
922,40,120,35
923,33,110,53
924,48,128,87
925,28,85,35
926,33,29,68
927,25,140,38
928,21,82,69
929,57,131,99
930,21,50,3
931,42,139,73
932,20,32,64
933,49,32,84
934,20,18,39
935,44,22,36
936,46,60,66
937,49,73,30
938,67,61,90
939,68,47,80
940,36,109,86
941,38,60,76
942,22,146,46
943,35,64,26
944,45,118,50
945,59,53,19
946,39,119,12
947,38,137,62
948,23,114,43
949,18,19,23
950,22,109,2
951,58,118,9
952,29,117,64
953,43,149,48
954,63,103,57
955,51,72,76
956,66,93,77
957,31,34,96
958,43,21,1
959,62,34,65
960,44,20,30
961,26,73,67
962,43,135,97
963,64,59,82
964,39,98,36
965,64,108,72
966,47,125,23
967,60,105,76
968,65,23,43
969,34,10,93
970,43,34,82
971,53,81,40
972,18,78,73
973,25,142,50
974,66,114,41
975,52,32,77
976,69,18,39
977,32,127,47
978,64,103,83
979,39,42,3
980,31,139,59
981,43,23,38
982,45,10,4
983,40,99,95
984,31,98,5
985,41,99,13
986,19,23,69
987,62,120,77
988,43,92,11
989,31,81,61
990,68,139,26
991,24,36,53
992,20,83,89
993,64,108,11
994,40,81,7
995,63,32,73
996,60,77,15
997,64,126,51
998,62,115,25
999,35,102,7
1000,55,74,44
1001,52,77,92
1002,68,137,83
1003,32,72,80
1004,42,122,18
1005,54,99,16
1006,45,90,64
1007,27,112,28
1008,56,125,13
1009,34,22,16
1010,56,133,12
1011,39,97,92
1012,43,20,97
1013,61,24,90
1014,42,19,62
1015,34,50,32
1016,30,82,28
1017,37,61,36
1018,42,137,82
1019,21,37,45
1020,27,74,23
1021,20,26,13
1022,58,104,100
1023,62,147,4
1024,35,72,52
1025,64,47,87
1026,53,79,97
1027,64,113,94
1028,39,62,29
1029,51,128,59
1030,64,83,72
1031,25,63,90
1032,57,29,27
1033,66,88,25
1034,61,40,17
1035,36,144,35
1036,59,67,7
1037,58,114,17
1038,54,19,83
1039,23,19,57
1040,69,48,31
1041,43,46,92
1042,51,128,48
1043,62,76,47
1044,23,52,81
1045,54,61,70
1046,50,110,64
1047,39,65,91
1048,38,85,32
1049,23,77,49
1050,23,146,3
1051,65,115,83
1052,21,134,35
1053,47,101,94
1054,28,32,27
1055,47,118,2
1056,48,70,5
1057,41,53,44
1058,26,25,22
1059,20,31,6
1060,68,66,60
1061,48,71,99
1062,57,116,64
1063,54,80,5
1064,53,99,23
1065,41,81,36
1066,48,79,44
1067,23,39,50
1068,19,112,99
1069,37,41,87
1070,45,95,44
1071,28,66,62
1072,21,118,28
1073,32,18,100
1074,23,40,95
1075,66,80,24
1076,47,146,9
1077,55,22,34
1078,68,140,54
1079,19,44,24
1080,32,30,90
1081,28,73,44
1082,25,104,95
1083,43,43,11
1084,68,130,3
1085,62,24,89
1086,61,129,66
1087,22,105,16
1088,23,15,72
1089,43,118,92
1090,21,106,64
1091,36,41,81
1092,37,92,52
1093,50,127,83
1094,37,88,56
1095,66,87,97
1096,29,116,27
1097,64,135,98
1098,18,24,15
1099,43,143,20
1100,31,82,76
1101,55,110,98
1102,54,107,41
1103,28,35,53
1104,53,101,31
1105,30,134,37
1106,60,82,69
1107,20,132,37
1108,50,62,53
1109,23,87,59
1110,67,101,76
1111,27,97,76
1112,22,22,46
1113,40,52,11
1114,27,85,52
1115,61,60,32
1116,19,28,27
1117,30,131,2
1118,57,33,81
1119,19,35,25
1120,37,129,53
1121,18,91,39
1122,54,109,65
1123,26,26,67
1124,34,77,91
1125,26,53,91
1126,28,70,88
1127,32,132,89
1128,41,102,46
1129,55,83,1
1130,52,76,41
1131,47,120,33
1132,48,11,93
1133,66,98,20
1134,22,35,100
1135,61,108,43
1136,67,36,86
1137,31,98,96
1138,28,10,1
1139,26,112,90
1140,51,140,58
1141,29,50,85
1142,52,60,97
1143,52,24,15
1144,18,17,19
1145,57,47,25
1146,39,123,15
1147,46,92,69
1148,25,65,22
1149,28,112,41
1150,58,147,36
1151,54,111,71
1152,31,87,5
1153,47,92,36
1154,52,39,21
1155,38,14,5
1156,54,128,31
1157,22,40,16
1158,36,32,37
1159,31,57,16
1160,43,118,36
1161,21,49,22
1162,42,15,48
1163,62,47,60
1164,59,109,48
1165,42,36,60
1166,35,78,76
1167,57,66,31
1168,25,26,85
1169,56,80,62
1170,57,56,6
1171,31,88,21
1172,49,119,84
1173,68,22,5
1174,55,148,60
1175,50,133,13
1176,40,118,15
1177,32,99,2
1178,50,95,8
1179,42,101,46
1180,34,33,84
1181,50,82,93
1182,64,13,93
1183,19,122,41
1184,31,55,41
1185,57,27,95
1186,57,52,22
1187,68,102,2
1188,56,112,0
1189,68,133,66
1190,23,19,100
1191,23,82,70
1192,20,40,2
1193,24,69,99
1194,68,140,48
1195,25,127,66
1196,59,23,54
1197,69,11,3
1198,32,33,30
1199,64,73,65
1200,46,109,77
1201,50,123,100
1202,69,33,63
1203,47,100,30
1204,56,35,62
1205,44,74,65
1206,53,129,30
1207,46,13,46
1208,55,10,21
1209,50,59,73
1210,54,119,93
1211,44,148,96
1212,50,83,82
1213,21,71,45
1214,39,90,88
1215,19,65,57
1216,27,120,60
1217,22,30,45
1218,27,18,0
1219,50,148,95
1220,55,79,24
1221,30,138,60
1222,48,127,80
1223,64,65,13
1224,53,40,44
1225,62,46,76
1226,41,100,38
1227,69,123,65
1228,32,137,31
1229,46,131,95
1230,25,78,57
1231,22,45,55
1232,46,41,5
1233,64,73,88
1234,21,57,66
1235,29,90,81
1236,62,69,49
1237,19,10,37
1238,44,74,2
1239,48,42,4
1240,68,47,23
1241,68,34,53
1242,53,68,33
1243,53,110,38
1244,43,136,87
1245,60,50,99
1246,44,66,91
1247,22,57,47
1248,37,81,48
1249,28,65,33
1250,27,74,79
1251,57,21,99
1252,55,78,6
1253,23,143,17
1254,25,98,69
1255,40,34,91
1256,64,10,33
1257,43,140,50
1258,63,58,92
1259,60,69,67
1260,29,11,13
1261,43,82,68
1262,30,119,88
1263,57,70,7
1264,35,26,14
1265,42,58,82
1266,50,85,58
1267,64,140,10
1268,57,52,19
1269,60,66,54
1270,29,59,35
1271,61,46,81
1272,53,55,13
1273,65,24,57
1274,21,89,37
1275,22,148,88
1276,54,33,79
1277,25,134,81
1278,59,127,0
1279,66,89,64
1280,45,103,0
1281,48,74,84
1282,26,97,59
1283,68,97,24
1284,46,135,90
1285,31,98,9
1286,57,70,49
1287,58,24,11
1288,39,103,91
1289,28,60,31
1290,40,36,32
1291,18,83,71
1292,63,70,25
1293,54,40,41
1294,38,21,49
1295,43,55,60
1296,63,41,40
1297,53,70,56
1298,40,55,1
1299,18,94,98
1300,68,89,97
1301,57,144,69
1302,32,13,30
1303,38,61,22
1304,64,121,75
1305,26,45,53
1306,26,63,27
1307,27,128,78
1308,69,136,18
1309,43,26,75
1310,58,84,47
1311,52,114,1
1312,69,126,10
1313,42,52,43
1314,43,121,100
1315,28,124,58
1316,55,36,58
1317,19,46,37
1318,24,55,24
1319,35,122,20
1320,44,44,41
1321,51,141,35
1322,44,89,8
1323,34,89,11
1324,60,130,9
1325,61,131,58
1326,68,90,4
1327,41,128,32
1328,42,67,68
1329,24,72,79
1330,69,109,62
1331,23,75,100
1332,41,94,100
1333,50,146,28
1334,66,132,17
1335,46,11,92
1336,60,115,5
1337,39,117,52
1338,43,81,81
1339,45,135,31
1340,67,66,41
1341,38,90,46
1342,66,28,30
1343,24,16,61
1344,34,146,55
1345,37,63,10
1346,58,113,25
1347,66,95,91
1348,37,91,26
1349,39,70,82
1350,45,96,56
1351,57,11,26
1352,66,40,58
1353,24,42,61
1354,18,89,19
1355,49,20,2
1356,30,137,15
1357,47,144,43
1358,40,137,92
1359,68,40,78
1360,36,135,29
1361,49,56,39
1362,47,116,64
1363,46,28,28
1364,66,90,29
1365,62,132,31
1366,46,143,9
1367,47,116,90
1368,33,58,50
1369,57,82,7
1370,36,59,50
1371,35,90,35
1372,18,104,54
1373,31,21,34
1374,68,32,35
1375,64,63,55
1376,67,127,35
1377,19,68,88
1378,45,12,83
1379,66,67,60
1380,67,66,61
1381,47,99,80
1382,55,64,86
1383,68,54,24
1384,21,10,63
1385,18,30,59
1386,25,30,56
1387,46,61,94
1388,56,91,69
1389,20,76,98
1390,49,122,51
1391,27,53,55
1392,27,19,62
1393,36,73,67
1394,63,78,19
1395,51,77,53
1396,50,37,0
1397,40,125,89
1398,45,60,97
1399,49,13,9
1400,67,88,22
1401,24,26,50
1402,46,117,23
1403,25,83,12
1404,18,32,28
1405,20,27,57
1406,41,138,90
1407,40,44,94
1408,25,73,42
1409,64,68,9
1410,54,10,30
1411,20,140,73
1412,68,76,87
1413,50,46,96
1414,45,38,13
1415,64,98,98
1416,25,109,33
1417,51,131,16
1418,52,99,20
1419,49,141,95
1420,41,23,66
1421,31,140,57
1422,49,94,78
1423,63,30,7
1424,60,35,95
1425,33,50,37
1426,21,131,25
1427,69,47,63
1428,54,97,29
1429,38,20,8
1430,31,38,31
1431,48,69,10
1432,65,70,85
1433,35,31,33
1434,24,87,17
1435,27,122,18
1436,24,132,53
1437,50,53,81
1438,40,106,36
1439,38,86,81
1440,36,149,11
1441,65,64,3
1442,36,60,42
1443,53,111,26
1444,46,38,50
1445,35,78,4
1446,19,89,5
1447,18,40,76
1448,64,121,86
1449,22,55,55
1450,37,106,88
1451,28,61,67
1452,59,147,95
1453,19,83,43
1454,20,50,14
1455,40,86,89
1456,29,140,41
1457,37,123,10
1458,22,61,72
1459,54,96,10
1460,55,118,65
1461,47,78,26
1462,26,129,57
1463,51,76,89
1464,61,70,71
1465,52,80,20
1466,69,39,20
1467,39,105,71
1468,61,65,0
1469,41,62,57
1470,34,16,12
1471,27,106,72
1472,47,122,91
1473,63,134,5
1474,40,141,86
1475,49,130,99
1476,34,47,57
1477,67,131,16
1478,68,35,72
1479,34,138,11
1480,31,13,85
1481,26,48,51
1482,57,63,75
1483,19,42,69
1484,62,29,72
1485,42,25,51
1486,56,136,36
1487,26,96,2
1488,39,91,97
1489,60,71,7
1490,63,40,9
1491,21,51,46
1492,43,21,40
1493,46,74,63
1494,62,82,41
1495,51,140,42
1496,40,124,8
1497,54,146,13
1498,28,115,100
1499,23,25,90
1500,35,87,95
1501,38,134,3
1502,59,140,1
1503,53,139,96
1504,58,121,84
1505,55,136,0
1506,51,30,74
1507,34,98,64
1508,54,56,45
1509,42,94,58
1510,55,137,74
1511,29,81,6
1512,40,51,65
1513,59,18,14
1514,39,34,71
1515,38,11,46
1516,44,28,89
1517,48,29,39
1518,23,79,41
1519,44,26,50
1520,57,133,34
1521,51,98,40
1522,29,103,84
1523,62,93,56
1524,24,140,37
1525,27,96,71
1526,62,60,95
1527,34,91,7
1528,43,17,73
1529,38,130,62
1530,45,13,86
1531,63,95,3
1532,19,137,47
1533,60,119,51
1534,18,108,37
1535,68,46,93
1536,53,80,86
1537,68,42,4
1538,43,40,84
1539,46,134,69
1540,38,21,80
1541,28,20,88
1542,57,97,23
1543,28,81,85
1544,53,41,76
1545,66,66,16
1546,56,95,77
1547,57,28,97
1548,52,125,89
1549,51,23,82
1550,64,42,25
1551,41,19,2
1552,39,89,1
1553,22,73,91
1554,50,77,1
1555,53,101,21
1556,64,134,70
1557,37,89,3
1558,36,68,37
1559,52,106,83
1560,69,28,69
1561,60,31,72
1562,34,18,51
1563,62,18,30
1564,60,36,25
1565,51,26,35
1566,26,54,25
1567,43,17,27
1568,19,134,4
1569,26,132,73
1570,26,42,17
1571,57,10,14
1572,34,15,56
1573,18,50,96
1574,42,14,4
1575,60,89,36
1576,57,27,85
1577,59,91,85
1578,42,74,21
1579,56,92,51
1580,52,145,14
1581,20,140,16
1582,67,34,50
1583,54,78,44
1584,61,91,62
1585,61,126,27
1586,68,104,58
1587,47,42,85
1588,55,120,20
1589,51,134,41
1590,29,25,80
1591,36,89,68
1592,54,47,81
1593,61,144,16
1594,66,87,67
1595,34,72,6
1596,27,121,88
1597,66,98,100
1598,64,47,39
1599,29,61,39
1600,33,38,42
1601,41,85,72
1602,36,73,82
1603,25,100,50
1604,48,98,72
1605,38,22,22
1606,34,81,94
1607,40,14,31
1608,54,21,30
1609,33,12,16
1610,23,42,57
1611,25,130,85
1612,42,59,34
1613,35,146,29
1614,42,38,63
1615,29,48,52
1616,32,100,50
1617,43,109,36
1618,58,26,89
1619,62,65,5
1620,43,55,33
1621,64,76,55
1622,49,76,95
1623,27,32,24
1624,33,103,12
1625,24,63,62
1626,34,147,65
1627,40,86,4
1628,43,25,74
1629,38,50,10
1630,39,107,87
1631,24,137,77
1632,31,70,93
1633,32,95,43
1634,24,127,98
1635,26,109,84
1636,68,58,68
1637,65,11,1
1638,25,129,39
1639,67,132,36
1640,40,95,48
1641,46,86,97
1642,35,145,74
1643,48,68,35
1644,47,21,74
1645,69,13,72
1646,56,126,69
1647,52,104,33
1648,35,134,57
1649,59,50,36
1650,56,132,95
1651,34,16,59
1652,31,78,11
1653,48,78,31
1654,41,90,80
1655,52,39,3
1656,61,82,32
1657,62,15,42
1658,51,98,8
1659,20,75,97
1660,54,19,50
1661,60,46,93
